Nom,Codi,Codi comarca,Nom comarca
Pontons,81688,3,Alt Penedès
Ponts,251728,23,Noguera
Pontós,171365,2,Alt Empordà
Porqueres,171371,28,Pla de l'Estany
Porrera,431140,29,Priorat
"Port de la Selva, el",171404,2,Alt Empordà
Portbou,171387,2,Alt Empordà
"Portella, la",251749,33,Segrià
Pradell de la Teixeta,431153,29,Priorat
Prades,431166,8,Baix Camp
Prat de Comte,431172,37,Terra Alta
"Prat de Llobregat, el",81691,11,Baix Llobregat
Pratdip,431188,8,Baix Camp
Prats de Lluçanès,81712,24,Osona
"Prats de Rei, els",81705,6,Anoia
Prats i Sansor,251752,15,Cerdanya
Preixana,251765,38,Urgell
Preixens,251771,23,Noguera
Premià de Dalt,82303,21,Maresme
Premià de Mar,81727,21,Maresme
"Preses, les",171390,19,Garrotxa
Prullans,251790,15,Cerdanya
Puig-reig,81751,14,Berguedà
Puigcerdà,171411,15,Cerdanya
Puigdàlber,81748,3,Alt Penedès
Puiggròs,251804,18,Garrigues
Puigpelat,431191,1,Alt Camp
Puigverd d'Agramunt,251811,38,Urgell
Puigverd de Lleida,251826,33,Segrià
Pujalt,81764,6,Anoia
"Quar, la",81770,14,Berguedà
Quart,171426,20,Gironès
Queralbs,170433,31,Ripollès
Querol,431205,1,Alt Camp
Rabós,171432,2,Alt Empordà
Rajadell,81786,7,Bages
Rasquera,431212,30,Ribera d'Ebre
Regencós,171447,10,Baix Empordà
Rellinars,81799,40,Vallès Occidental
Renau,431227,36,Tarragonès
Reus,431233,8,Baix Camp
Rialp,251832,26,Pallars Sobirà
"Riba, la",431248,1,Alt Camp
Riba-roja d'Ebre,431251,30,Ribera d'Ebre
Ribera d'Ondara,259059,32,Segarra
Ribera d'Urgellet,251850,4,Alt Urgell
Ribes de Freser,171450,31,Ripollès
Riells i Viabrea,171463,34,Selva
"Riera de Gaià, la",431264,36,Tarragonès
Riner,251863,35,Solsonès
Ripoll,171479,31,Ripollès
Ripollet,81803,40,Vallès Occidental
Riu de Cerdanya,259139,15,Cerdanya
Riudarenes,171485,34,Selva
Riudaura,171498,19,Garrotxa
Riudecanyes,431270,8,Baix Camp
Riudecols,431286,8,Baix Camp
Riudellots de la Selva,171501,34,Selva
Riudoms,431299,8,Baix Camp
Riumors,171518,2,Alt Empordà
"Roca del Vallès, la",81810,41,Vallès Oriental
Rocafort de Queralt,431303,16,Conca de Barberà
Roda de Berà,431310,36,Tarragonès
Roda de Ter,81831,24,Osona
Rodonyà,431325,1,Alt Camp
Roquetes,431331,9,Baix Ebre
Roses,171523,2,Alt Empordà
Rosselló,251898,33,Segrià
"Rourell, el",431346,1,Alt Camp
Rubió,81859,6,Anoia
Rubí,81846,40,Vallès Occidental
Rupit i Pruit,89019,24,Osona
Rupià,171539,10,Baix Empordà
Sabadell,81878,40,Vallès Occidental
Sagàs,81884,14,Berguedà
Saldes,81901,14,Berguedà
Sales de Llierca,171544,19,Garrotxa
Sallent,81918,7,Bages
Salomó,431359,36,Tarragonès
Salou,439057,36,Tarragonès
Salt,171557,20,Gironès
Salàs de Pallars,251902,25,Pallars Jussà
Sanaüja,251919,32,Segarra
Sant Adrià de Besòs,81944,13,Barcelonès
Sant Agustí de Lluçanès,81957,24,Osona
Sant Andreu Salou,171576,20,Gironès
Sant Andreu de Llavaneres,81976,21,Maresme
Sant Andreu de la Barca,81960,11,Baix Llobregat
Sant Aniol de Finestres,171833,19,Garrotxa
Sant Antoni de Vilamajor,81982,41,Vallès Oriental
Sant Bartomeu del Grau,81995,24,Osona
Sant Boi de Llobregat,82009,11,Baix Llobregat
Sant Boi de Lluçanès,82016,24,Osona
Sant Carles de la Ràpita,431362,22,Montsià
Sant Cebrià de Vallalta,82037,21,Maresme
Sant Celoni,82021,41,Vallès Oriental
Sant Climent Sescebes,171582,2,Alt Empordà
Sant Climent de Llobregat,82042,11,Baix Llobregat
Sant Cugat Sesgarrigues,82068,3,Alt Penedès
Sant Cugat del Vallès,82055,40,Vallès Occidental
Sant Esteve Sesrovires,82080,11,Baix Llobregat
Sant Esteve de Palautordera,82074,41,Vallès Oriental
Sant Esteve de la Sarga,251961,25,Pallars Jussà
Sant Feliu Sasserra,82129,7,Bages
Sant Feliu de Buixalleu,171595,34,Selva
Sant Feliu de Codines,82107,41,Vallès Oriental
Sant Feliu de Guíxols,171609,10,Baix Empordà
Sant Feliu de Llobregat,82114,11,Baix Llobregat
Sant Feliu de Pallerols,171616,19,Garrotxa
Sant Ferriol,171621,19,Garrotxa
Sant Fost de Campsentelles,82093,41,Vallès Oriental
Sant Fruitós de Bages,82135,7,Bages
Sant Gregori,171637,20,Gironès
Sant Guim de Freixenet,251924,32,Segarra
Sant Guim de la Plana,251977,32,Segarra
Sant Hilari Sacalm,171642,34,Selva
Sant Hipòlit de Voltregà,82153,24,Osona
Sant Iscle de Vallalta,81939,21,Maresme
Sant Jaume d'Enveja,439023,22,Montsià
Sant Jaume de Frontanyà,82166,14,Berguedà
Sant Jaume de Llierca,171655,19,Garrotxa
Sant Jaume dels Domenys,431378,12,Baix Penedès
Sant Joan Despí,82172,11,Baix Llobregat
Sant Joan de Mollet,171680,20,Gironès
Sant Joan de Vilatorrada,82188,7,Bages
Sant Joan de les Abadesses,171674,31,Ripollès
Sant Joan les Fonts,171851,19,Garrotxa
Sant Jordi Desvalls,171668,20,Gironès
Sant Julià de Cerdanyola,89030,14,Berguedà
Sant Julià de Ramis,171693,20,Gironès
Sant Julià de Vilatorta,82205,24,Osona
Sant Julià del Llor i Bonmatí,179032,34,Selva
Sant Just Desvern,82212,11,Baix Llobregat
Sant Llorenç Savall,82233,40,Vallès Occidental
Sant Llorenç d'Hortons,82227,3,Alt Penedès
Sant Llorenç de Morunys,251930,35,Solsonès
Sant Llorenç de la Muga,171714,2,Alt Empordà
Sant Martí Sarroca,82270,3,Alt Penedès
Sant Martí Sesgueioles,82286,6,Anoia
Sant Martí Vell,171735,20,Gironès
Sant Martí d'Albars,82251,24,Osona
Sant Martí de Centelles,82248,24,Osona
Sant Martí de Llémena,171729,20,Gironès
Sant Martí de Riucorb,259025,38,Urgell
Sant Martí de Tous,82264,6,Anoia
Sant Mateu de Bages,82299,7,Bages
